BRAHMS,MASTER,gbifID,SarkID,ACCESSION,DETBY,DETDATE,LATDEC,LONGDEC,ALT,SP1,Species,roots,basisOfRecord,Ploidy,Source,countryCode,COUNTRY
,139,,139,CIP 762449,,,-14.7822,-71.6892,4041,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,140,,140,CIP 761681,,,-13.9461,-71.6031,3783,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,141,,141,CIP 761946,,,-15.9606,-71.5964,3794,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,142,,142,CIP 761947,,,-15.9606,-71.5964,3794,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,143,,143,CIP 763205,,,-15.9606,-71.5964,3794,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,144,,144,CIP 760947,,,-15.64,-71.5503,4520,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,145,,145,CIP 760948,,,-15.64,-71.5503,4500,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,146,,146,CIP 761953,,,-15.64,-71.5503,4000,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,147,,147,CIP 762384,,,-14.4914,-71.4783,3857,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,148,,148,CIP 762385,,,-14.4914,-71.4783,3857,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,149,,149,CIP 762386,,,-14.4914,-71.4783,3857,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,150,,150,CIP 762389,,,-14.4914,-71.4783,3800,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,151,,151,CIP 762435,,,-14.7428,-71.4575,3884,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,152,,152,CIP 761956,,,-15.485,-71.4567,3813,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,153,,153,CIP 763203,,,-15.485,-71.4567,3813,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,154,,154,CIP 762873,,,-15.6519,-71.4222,4228,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,155,,155,CIP 765718,,,-15.5092,-71.4123,3879,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,156,,156,CIP 762567,,,-14.7925,-71.4119,3909,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,157,,157,CIP 761129,,,-14.9044,-71.3808,3900,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,158,,158,CIP 761130,,,-14.9044,-71.3808,3900,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,159,,159,CIP 762426,,,-14.9044,-71.3808,4000,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,160,,160,CIP 762428,,,-14.9044,-71.3808,4440,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,161,,161,CIP 762429,,,-14.9044,-71.3808,4440,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,162,,162,CIP 762430,,,-14.9044,-71.3808,4440,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,163,,163,CIP 762431,,,-14.9044,-71.3808,4440,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,164,,164,CIP 762432,,,-14.9044,-71.3808,3900,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,165,,165,CIP 762433,,,-14.9044,-71.3808,3900,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,166,,166,CIP 760946,,,-15.9839,-71.3631,4185,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,167,,167,CIP 761945,,,-15.9839,-71.3631,4185,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,168,,168,CIP 765919,,,-14.5268,-71.3046,3950,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,169,,169,CIP 762420,,,-14.3844,-71.2981,4000,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,170,,170,CIP 765720,,,-15.402,-71.2911,4273,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,171,,171,CIP 765719,,,-15.4929,-71.2839,4237,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,172,,172,CIP 762427,,,-14.9719,-71.2708,4221,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,173,,173,CIP 763204,,,-15.4989,-71.2236,3488,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,174,,174,CIP 762424,,,-14.6803,-71.22,4117,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,175,,175,CIP 762425,,,-14.6803,-71.22,4117,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,176,,176,CIP 761620,,,-14.3736,-71.0961,4145,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,177,,177,CIP 762450,,,-14.3736,-71.0961,4350,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,178,,178,CIP 765757,,,-14.4831,-70.9896,4333,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,179,,179,CIP 762213,,,-15.0475,-70.9583,4444,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,180,,180,CIP 762214,,,-15.0475,-70.9583,4444,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,181,,181,CIP 762215,,,-15.0475,-70.9583,4444,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,182,,182,CIP 762216,,,-15.0475,-70.9583,4444,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,183,,183,CIP 761229,,,-13.595,-70.9564,2783,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,184,,184,CIP 761616,,,-14.5097,-70.9233,4153,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,185,,185,CIP 765725,,,-15.6927,-70.8133,4192,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,186,,186,CIP 760346,,,-14.5742,-70.8122,4175,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,187,,187,CIP 761613,,,-14.5742,-70.8122,4165,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,188,,188,CIP 761614,,,-14.5742,-70.8122,4165,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,189,,189,CIP 762350,,,-14.5742,-70.8122,3980,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,190,,190,CIP 762354,,,-14.5742,-70.8122,4100,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,191,,191,CIP 765724,,,-15.6833,-70.8005,4191,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,192,,192,CIP 761612,,,-14.6075,-70.7861,4034,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,193,,193,CIP 761963,,,-15.6014,-70.785,4050,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,194,,194,CIP 761964,,,-15.6014,-70.785,4100,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,195,,195,CIP 761966,,,-15.6014,-70.785,4000,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,196,,196,CIP 761961,,,-15.8589,-70.7528,4154,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,197,,197,CIP 761962,,,-15.8589,-70.7528,4000,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,198,,198,CIP 762380,,,-15.8589,-70.7528,4154,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,199,,199,CIP 762381,,,-15.8589,-70.7528,4154,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,200,,200,CIP 762865,,,-16.8653,-70.6706,3876,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,201,,201,CIP 761972,,,-14.4511,-70.66,4055,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,202,,202,CIP 760949,,,-14.0561,-70.4703,4000,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,203,,203,CIP 762202,,,-14.0561,-70.4703,4200,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,204,,204,CIP 761944,,,-17.1161,-70.3886,4405,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,205,,205,CIP 760342,,,-15.7914,-70.36,3934,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,206,,206,CIP 762378,,,-15.565,-70.3008,3859,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,207,,207,CIP 762379,,,-15.565,-70.3008,3859,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,208,,208,CIP 761958,,,-15.6431,-70.2803,4180,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
,209,,209,CIP 761959,,,-15.6431,-70.2803,4200,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,210,,210,CIP 761960,,,-15.6431,-70.2803,4154,acaule,acaule,tuberous,germplasm,,SŠrkinen,,
,211,,211,CIP 761965,,,-15.5394,-70.2617,3847,acaule,acaule,tuberous,germplasm,48,SŠrkinen,,
