"SP1";"niche.bio1me";"niche.bio2me";"niche.bio4me";"niche.bio12me";"niche.bio15me"
"58";"pimpinellifolium";0.583853372434016;0.57307514450867;0.269615007816571;0.392791193778899;0.751382916053019
"59";"pinnatisectum";0.146428152492669;0.179479768786127;0.0876941115164148;0.0811010928961749;0.153060382916053
"60";"polyadenium";0.343041055718474;0.261936416184971;0.105008233454924;0.222597730138714;0.267535346097202
"61";"raphanifolium";0.42632258064516;0.355190751445087;0.0564177175612298;0.354585750315259;0.269857879234168
"62";"schenckii";0.214369501466276;0.239439306358381;0.132851380927566;0.145077343421606;0.237374815905744
"63";"stenophyllidium";0.353272727272727;0.188815028901734;0.465776550286608;0.107125683060109;0.249840206185567
"64";"stipuloideum";0.533595307917887;0.368988439306358;0.104225429911412;0.214512189995797;0.328160530191458
"65";"stoloniferum";0.549445747800585;0.510040462427746;0.710758520062532;0.200549810844893;0.648018409425626
"66";"suaveolens";0.363173020527859;0.27814450867052;0.147573840541949;0.327962379150904;0.54930117820324
"67";"tabanoense";0.343800586510263;0.159924855491329;0.0632389786347056;0.224058007566204;0.218966863033873
"68";"ternatum";0.531120234604104;0.208034682080925;0.135166128191767;0.42694115174443;0.388156111929308
"69";"trifidum";0.340310850439882;0.111416184971098;0.0755514330380406;0.095411937788987;0.110039764359352
"70";"trizygum";0.332304985337243;0.360815028901734;0.161798540906722;0.373488440521227;0.344576583210604
"71";"venturii";0.559079178885629;0.30114450867052;0.219453673788431;0.157879781420765;0.293273932253314
"72";"vernei";0.542683284457477;0.457294797687861;0.34037967691506;0.163643442622951;0.321611192930781
"73";"verrucosum_24";0.383642228739002;0.0670751445086705;0.194397081813445;0.106956809583859;0.223108983799705
"74";"violaceimarmoratum";0.557419354838708;0.208341040462428;0.120034497133924;0.292912673392182;0.287047128129602
"75";"acroscopicum_24";0.181818181818181;0.242774566473988;0.0309536216779573;0.139029003783102;0.652430044182621
"76";"aemulans_48";0.0821114369501466;0.069364161849711;0.0923397602918187;0.1432324506095;0.0257731958762887
"77";"andreanum_24";0.436950146627565;0.0578034682080925;0.0523189161021365;0.403425809163514;0.254786450662739
"78";"blanco-galdosii";0.343108504398826;0.104046242774566;0.111412193850964;0.102038671710803;0.30780559646539
"79";"cardiophyllum_24";0.131964809384164;0.104046242774567;0.144971339239187;0.058848255569567;0.0986745213549337
"80";"chamaepolybotryon";0.211143695014663;0.0404624277456647;0.00927566440854612;0.0563261874737285;0.01620029455081
"81";"chimborazense";0.363636363636364;0.265895953757225;0.0331422615945805;0.130096679277007;0.189985272459499
"82";"clarum";0.554252199413489;0.277456647398844;0.0601354872329338;0.199243379571248;0.167157584683358
"83";"complectens";0.287390029325513;0.254335260115607;0.0735799895779052;0.0854350567465322;0.182621502209131
"84";"guerreroense";0.466275659824046;0.0404624277456647;0.0638874413757165;0.0132408575031526;0.0117820324005892
"85";"huancabambense";0.140762463343109;0.0635838150289017;0.0352266805627931;0.051807482135351;0.21060382916053
"86";"immite_24";0.219941348973607;0.30635838150289;0.211360083376759;0.0701975620008407;0.128129602356407
"87";"lesteri";0.158357771260997;0.127167630057803;0.055862428348098;0.109079445145019;0.0316642120765832
"88";"lignicaule";0.260997067448679;0.15606936416185;0.0333507034914018;0.147225725094578;0.14580265095729
"89";"neocardenasii";0.228739002932551;0.15606936416185;0.0406461698801459;0.0937368642286675;0.25920471281296
"90";"pacificum";0.0410557184750733;0.0346820809248555;0.0264721208963002;0.23245060949979;0.19219440353461
"91";"paucissectum";0.35190615835777;0.0346820809248555;0.0313705054715998;0.0452921395544346;0.192930780559647
"92";"piurae";0.378299120234604;0.0520231213872833;0.156018759770714;0.10708280790248;0.282032400589102
"93";"savanillense";0.228739002932551;0.0982658959537572;0.042313705054716;0.21469104665826;0.269513991163476
"94";"skutchii";0.0087976539589443;0.0115606936416185;0.00823345492443983;0.00977301387137453;0.00736377025036819
"95";"sodiroi";0.527859237536656;0.202312138728324;0.0560708702449192;0.354981084489281;0.251840942562592
"96";"taeniotrichum";0.422287390029324;0.121387283236994;0.0294945284002084;0.165720891130727;0.151693667157585
"97";"tarnii";0.237536656891496;0.213872832369942;0.0604481500781657;0.0766078184110971;0.117820324005891
"98";"trachycarpum";0.375366568914955;0.225433526011561;0.0590932777488275;0.434216057166877;0.491899852724595
"99";"trifolium";0.108504398826978;0.00578034682080923;0.00635747785304846;0.026691887347625;0.0213549337260677
"100";"trinominum";0.16715542521994;0.439306358381503;0.34048983845753;0.0504413619167718;0.431516936671576
