"","bio1_annMeanT","bio2_MeanDiTRange","bio3_Isotherm","bio4_TempSeas","bio5_MaxWarmestM","bio6_MinColdestM","bio7_AnnTempRange","bio12_AnnMeanPrecip","bio13_MaxWettestM","bio14_MinDriestM","bio15_PrecipSeas","cmimean","cmirange","gsl","swb","cmimax","cmimin","gdd5","CCmean","CCSD"
"bio15_PrecipSeas",-0.259734685668421,0.632606347467277,-0.379370094010363,0.328847855142275,0.0444644804078519,-0.475710323610099,0.527910122600702,-0.622137609837219,-0.376442790640549,-0.796118552004025,1,-0.619388318054813,-0.166126579785882,-0.475119467132365,-0.632392725124722,-0.417949012175571,-0.732848577415967,-0.253451591026951,-0.683826967641628,0.75659574732636
"cmimean",0.0923376804875621,-0.532173509422718,0.408961431241655,-0.386011278362892,-0.203803065215131,0.326874179258674,-0.508145607722803,0.993929306399633,0.937110356745494,0.875873438133299,-0.619388318054813,1,0.778037169969782,0.725343374810677,0.878755948347774,0.946769092503377,0.864372031199816,0.0832162641839245,0.783391019546005,-0.550773337753502
"cmirange",-0.0135336754861906,-0.260725984563163,0.125155724536257,-0.17340225586091,-0.0928249484445097,0.126192310195439,-0.208045165235973,0.780020777988147,0.915281066554853,0.453660400844507,-0.166126579785882,0.778037169969782,1,0.561108444656824,0.630132487369043,0.931798060584599,0.386671678809102,-0.0124385133898279,0.536435262897936,-0.260104467073239
"gsl",-0.090939402655936,-0.315798160277647,0.537499902606208,-0.483286554631291,-0.374963877789375,0.139042841791854,-0.458087992158053,0.720491698705234,0.748506020238023,0.556672318571484,-0.475119467132365,0.725343374810677,0.561108444656824,1,0.929840554818997,0.711751609954795,0.696913069100973,-0.107511927193928,0.82969612617048,-0.292922573456934
"swb",-0.0455681657512149,-0.428051024864902,0.47754161717288,-0.411164132539961,-0.341468535547283,0.187037139097172,-0.479472166509499,0.861996198099266,0.834048395718347,0.740919042253097,-0.632392725124722,0.878755948347774,0.630132487369043,0.929840554818997,1,0.82257659247207,0.841777652658416,-0.0591993637960128,0.843657122573588,-0.456510634030038
"cmimax",0.0257754554268689,-0.441896513768441,0.319263634738502,-0.330029237646818,-0.198276627401997,0.241176620093823,-0.415128913502077,0.940086818520263,0.988030707298294,0.70772488473255,-0.417949012175571,0.946769092503377,0.931798060584599,0.711751609954795,0.82257659247207,1,0.695043716686624,0.0210944478051021,0.721606331382385,-0.423693821850001
"cmimin",0.0923245857775343,-0.606278807809842,0.563239410309477,-0.495039732440935,-0.319860725582492,0.362820437678304,-0.642619935241191,0.843471982015162,0.697348391757832,0.899553420602251,-0.732848577415967,0.864372031199816,0.386671678809102,0.696913069100973,0.841777652658416,0.695043716686624,1,0.0782631654831973,0.770821841410306,-0.561287550042488
"gdd5",0.997129387455144,-0.299992657953274,-0.005451123879868,-0.123758806025657,0.816742060786697,0.861453005777594,-0.202937009513881,0.14878542845932,0.0468353844205628,0.264214347372504,-0.253451591026951,0.0832162641839245,-0.0124385133898279,-0.107511927193928,-0.0591993637960128,0.0210944478051021,0.0782631654831973,1,0.12631144044836,-0.318088162014476
"CCmean",0.143826854803248,-0.593242080505377,0.717743252523237,-0.666900510655182,-0.274631723377096,0.467423589154423,-0.712536230945375,0.790616255797665,0.733550855267571,0.706331031877437,-0.683826967641628,0.783391019546005,0.536435262897936,0.82969612617048,0.843657122573588,0.721606331382385,0.770821841410306,0.12631144044836,1,-0.614900343047884
"CCSD",-0.328530304690586,0.583457163935507,-0.317038777928227,0.252645094377109,-0.0728640361697996,-0.506006288779266,0.460683757306035,-0.554686604566473,-0.374959121338112,-0.694419349783714,0.75659574732636,-0.550773337753502,-0.260104467073239,-0.292922573456934,-0.456510634030038,-0.423693821850001,-0.561287550042488,-0.318088162014476,-0.614900343047884,1
