"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade"
NA,84,NA,84,"CIP 761826","","",-14.6908,-74.1258,3242,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,92,NA,92,"CIP 761823","","",-14.2333,-74.0414,3178,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,93,NA,93,"CIP 761821","","",-14.6753,-74.0169,4200,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,100,NA,100,"CIP 761824","","",-13.5278,-73.8181,2235,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,103,NA,103,"CIP 761143","","",-15.2819,-73.5978,3400,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,106,NA,106,"CIP 764243","","",-14.5461,-73.5278,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,108,NA,108,"CIP 761142","","",-13.7906,-73.4719,3890,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,109,NA,109,"CIP 764209","","",-14.2233,-73.0153,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,110,NA,110,"CIP 760008","","",-13.5011,-72.8972,3051,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,112,NA,112,"CIP 761135","","",-14.5181,-72.7503,3900,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,114,NA,114,"CIP 762009","","",-13.1083,-72.5928,1588,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,115,NA,115,"CIP 761727","","",-13.7486,-72.2736,3861,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,116,NA,116,"CIP 761553","","",-14.2839,-72.0406,3551,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,117,NA,117,"CIP 761986","","",-13.0819,-72.0247,4100,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,119,NA,119,"CIP 761134","","",-14.6736,-72.0231,3924,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,128,NA,128,"CIP 761125","","",-13.3592,-71.8189,3831,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,133,NA,133,"CIP 761955","","",-15.5786,-71.7192,4350,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
NA,140,NA,140,"CIP 761681","","",-13.9461,-71.6031,3783,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","","3.05","FCM","NA","NA"
