"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY","genomeSize","GenomeSizeMethod","subclade","PClade","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio12","bio13","bio14","bio15","cmimax","cmimean","cmimin","cmirange","gsl","swb","gdd5","CCmean","CCSD","gsMono","range.bio1","range.bio2","range.bio3","range.bio4","range.bio5","range.bio6","range.bio7","range.bio12","range.bio13","range.bio14","range.bio15","range.cmimax","range.cmimean","range.cmimin","range.gdd5","range.cmirange","range.CCmean","range.CCSD","range.gsl","range.swb","Specimens"
NA,74,NA,74,"CIP 761024","","",-14.4872,-74.3044,4000,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,6.95000000000004,12.7,0.781,1.012,14.75,-1.54999999999996,16.3,634,131.9,6.1,84.7,7,-56.7,-93.8,100.9,253,-684,724.6,48.89,23.33,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,80,NA,80,"CIP 763414","","",-13.3694,-74.1914,3724,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,6.85000000000004,9.9,0.675,1.195,13.45,-1.14999999999996,14.6,1260,243.8,6.4,81.4,133.6,5.9,-66.4,200,365,-176,679,69.51,19.51,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,84,NA,84,"CIP 761826","","",-14.6908,-74.1258,3242,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,8.75000000000004,12.3,0.769,1.057,16.35,0.350000000000038,16,799,176.8,7.6,93.2,64.9,-36.8,-82.3,147.3,306,-503,1372.4,43.06,23.09,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,92,NA,92,"CIP 761823","","",-14.2333,-74.0414,3178,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,9.55000000000004,11.6,0.767,0.952,16.95,1.85000000000004,15.1,763,149.9,6.4,80.5,16.5,-42.7,-86,102.5,288,-516,1652.7,47.95,18.87,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,93,NA,93,"CIP 761821","","",-14.6753,-74.0169,4200,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,5.75000000000004,11.7,0.776,0.95,13.25,-1.84999999999996,15.1,1077,243.4,9.3,94.4,134.6,-7.6,-67.3,201.9,356,-290,337.8,48.52,24.05,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,100,NA,100,"CIP 761824","","",-13.5278,-73.8181,2235,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,15.25,9.5,0.722,0.812,21.35,8.15000000000004,13.2,740,135.1,5.8,77.4,-15.4,-68.4,-94.4,79,244,-822,3755.2,38.87,17.89,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,103,NA,103,"CIP 761143","","",-15.2819,-73.5978,3400,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,10.35,11.1,0.723,0.716,18.25,2.85000000000004,15.4,671,172.9,4.7,109.5,59.7,-54.6,-117.4,177.1,277,-698,1940.3,40.87,25.29,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,106,NA,106,"CIP 764243","","",-14.5461,-73.5278,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,3.45000000000004,11.1,0.738,1.172,10.85,-4.24999999999996,15.1,1300,279.7,11.4,85.2,176.8,14.5,-58.1,234.9,365,-159,NA,55.58,20.94,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,108,NA,108,"CIP 761142","","",-13.7906,-73.4719,3890,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,9.75000000000004,9.2,0.7,0.973,15.85,2.65000000000004,13.2,1139,229.8,10.3,79.6,111.6,-13.9,-75.7,187.3,365,-310,1732.3,55.16,23.59,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
NA,109,NA,109,"CIP 764209","","",-14.2233,-73.0153,NA,"acaule_48","acaule","tuberous","germplasm",48,"SŠrkinen","","",3.05,"FCM",NA,NA,8.95000000000004,10.1,0.718,0.883,15.25,1.15000000000004,14.1,1286,295.2,8.8,89.6,152.9,-4.2,-62.8,215.7,365,-286,1428.2,51.36,21.97,0.7625,34.1,17.3,0.784,9.595,36.6,42,37.2,9516,1075.7,536.8,135.8,1108.6,845.7,671.4,NA,773.6,94.55,35.07,365,2077,182
