"SP1","niche.bio1me","niche.bio2me","niche.bio4me","niche.bio12me","niche.bio15me","Specimens","breadth","logbreadth","sqrbreadth","mean.bio1","mean.bio2","mean.bio4","mean.bio12","mean.bio15","subClade","PClade","genomeSize","genomeSizeMethod","Ploidy","gsMono"
"brevicaule_48",0.425595307917887,0.34049710982659,0.164079729025534,0.148420239596469,0.334236377025037,30,1.41282876339152,0.34559390979927,1.18862473615162,10.5833333333334,11.76,1.9052,886.1,97.2633333333333,"Petota","4 South",3.26,"FCM","Tetraploid",0.815
"bulbocastanum_24",0.392055718475073,0.246982658959538,0.160504950495049,0.146831126523749,0.262226067746686,16,1.2086005222001,0.189463097015471,1.09936368968604,16.49375,11.425,1.7269375,1198.3125,88.44375,"Petota","1+2",1.53,"FCM","Diploid",0.765
"candolleanum_24",0.514894428152492,0.493508670520231,0.18379145388223,0.334255674653216,0.465378497790869,131,1.99182872499904,0.689053174039606,1.4113216235143,8.50954198473285,9.6412213740458,0.88536641221374,1300.25954198473,76.8496183206107,"Petota","4 North",1.89,"FCM","Diploid",0.945
"cardiophyllum_24",0.131964809384164,0.104046242774567,0.144971339239187,0.058848255569567,0.0986745213549337,5,0.538505168322418,-0.618958184804233,0.733829113842193,17.05,12.44,2.1276,543.2,84.62,"Petota","1+2",1.55,"FCM","Diploid",0.775
"caripense",0.580111436950145,0.296815028901734,0.12620917144346,0.532679382093317,0.665323269513991,73,2.20113828890265,0.788974630603607,1.48362336490858,13.4308219178082,8.26301369863014,0.500616438356164,1831.15068493151,54.5890410958904,"Basarthrum","",2.46,"FCM","Diploid",1.23
"chacoense_24",0.364809384164222,0.139393063583815,0.300513496612819,0.135438104245481,0.609321060382916,19,1.54947510898925,0.437916234218127,1.24477914064675,17.5763157894737,9.4421052631579,3.41994736842105,1127.15789473684,74.1736842105263,"Petota","4 South",1.72,"FCM","Diploid",0.86
"chamaepolybotryon",0.211143695014663,0.0404624277456647,0.00927566440854612,0.0563261874737285,0.01620029455081,3,0.333408269193412,-1.09838750635331,0.57741516190122,18.7833333333333,7.6,0.478,1681.33333333333,38.6,"Pteroidea","",2.1,"LocoGSE","Diploid",1.05
"chilense",0.533087976539588,0.806098265895954,0.366437832204273,0.0747846784363178,0.924721649484536,72,2.70513040256067,0.99515011910715,1.64472806340765,13.6152777777778,10.7013888888889,1.82186111111111,171.152777777778,96.8291666666667,"Tomato","",2.23,"FCM","Diploid",1.115
"chimborazense",0.363636363636364,0.265895953757225,0.0331422615945805,0.130096679277007,0.189985272459499,4,0.982756530724676,-0.0173938693451617,0.991340774267192,16.25,7.975,0.4985,1804,66.8,"Anarrhichomenum","",1.6,"LocoGSE","Diploid",0.8
"chomatophilum",0.628510263929618,0.259450867052023,0.156653673788431,0.191567150063052,0.546488217967599,62,1.78267017280072,0.578112337361382,1.3351667209756,11.2274193548387,8.90483870967742,0.464741935483871,1260.27419354839,64.9193548387097,"Petota","3",1.92,"FCM","Diploid",0.96
"clarum",0.554252199413489,0.277456647398844,0.0601354872329338,0.199243379571248,0.167157584683358,9,1.25824529829987,0.229718129969455,1.12171533746306,13.3722222222222,8.38888888888889,0.837777777777778,2746.55555555556,79.1333333333333,"Petota","1+2",1.75,"FCM","Diploid",0.875
"colombianum",0.659413489736069,0.299121387283237,0.0985861386138614,0.544519020596889,0.565929307805596,136,2.16756934403565,0.773606421795479,1.4722667367144,14.8227941176471,7.35808823529412,0.443926470588235,2523.02941176471,38.5757352941176,"Petota","3",5.34,"FCM","Tetraploid",1.335
"commersonii_24",0.160046920821114,0.380034682080925,0.139920687858259,0.0665016813787306,0.183578792341679,22,0.930082764480708,-0.0724817027292948,0.96440798652889,17.0363636363636,7.82727272727273,4.35545454545455,1245.63636363636,18.9818181818182,"Petota","4 South",1.58,"FCM","Diploid",0.79
"complectens",0.287390029325513,0.254335260115607,0.0735799895779052,0.0854350567465322,0.182621502209131,7,0.883361837974689,-0.124020379785317,0.939873309534157,16.7785714285714,7.97142857142857,2.00742857142857,1266.28571428571,68.7,"Anarrhichomenum","",2.14,"LocoGSE","Diploid",1.07
"conicum",0.406231671554252,0.173369942196532,0.068531735278791,0.330636612021858,0.276754050073638,26,1.25552401112507,0.227553024183778,1.12050167832318,19.4884615384615,7.62692307692308,0.6675,2443.26923076923,50.7076923076923,"Pteroidea","",2.41,"LocoGSE","Diploid",1.205
"crassinervium",0.424202346041055,0.202156069364162,0.0173242313705055,0.684326187473729,0.389166421207658,11,1.71717525545711,0.540680647444454,1.31041033857991,18.1954545454545,5.98181818181818,0.273272727272727,4316.45454545455,38.7272727272727,"Herpystichum","",1.54,"LocoGSE","Diploid",0.77
"demissum",0.673677419354838,0.47106936416185,0.336246899426785,0.22505884825557,0.330054491899853,62,2.03610702309889,0.711039662679504,1.42692222040968,14.3177419354839,11.9612903225806,2.08729032258065,1142.03225806452,89.791935483871,"Petota","4 South",4.75,"FCM","Hexaploid",0.791666666666667
"doddsii",0.220900293255131,0.263161849710983,0.0698930693069307,0.137223203026482,0.18279528718704,10,0.873973702486566,-0.134704992467415,0.934865606644381,14.01,9.63,1.6794,1030.9,78.9,"Petota","4 South",1.71,"FCM","Diploid",0.855
"dolichocremastrum",0.469615835777125,0.198549132947977,0.0516401250651381,0.252180538041194,0.407158321060383,18,1.37914395289182,0.321462982697145,1.17436959807882,10.4277777777778,9.27222222222222,0.424666666666667,1471.61111111111,67.6388888888889,"Petota","4 North",1.82,"FCM","Diploid",0.91
"ehrenbergii",0.193472140762463,0.22550289017341,0.158441479937467,0.0730527532576713,0.363430044182621,46,1.01389930831363,0.0138035987724301,1.00692567169262,17.5369565217391,12.8586956521739,2.52867391304348,626.521739130435,91.2652173913043,"Petota","1+2",1.76,"FCM","Diploid",0.88
