"BRAHMS","MASTER","gbifID","SarkID","ACCESSION","DETBY","DETDATE","LATDEC","LONGDEC","ALT","SP1","Species","roots","basisOfRecord","Ploidy","Source","countryCode","COUNTRY"
NA,112,NA,112,"CIP 761135","","",-14.5181,-72.7503,3900,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,113,NA,113,"CIP 765887","","",-13.9175,-72.7158,4430,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,114,NA,114,"CIP 762009","","",-13.1083,-72.5928,1588,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,115,NA,115,"CIP 761727","","",-13.7486,-72.2736,3861,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,116,NA,116,"CIP 761553","","",-14.2839,-72.0406,3551,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,117,NA,117,"CIP 761986","","",-13.0819,-72.0247,4100,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,119,NA,119,"CIP 761134","","",-14.6736,-72.0231,3924,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,120,NA,120,"CIP 761803","","",-13.2639,-71.9553,4200,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,125,NA,125,"CIP 763358","","",-13.4208,-71.8511,2966,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,126,NA,126,"CIP 765745","","",-13.3534,-71.8279,4069,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,127,NA,127,"CIP 765741","","",-13.3541,-71.8257,4054,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,128,NA,128,"CIP 761125","","",-13.3592,-71.8189,3831,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,129,NA,129,"CIP 765748","","",-13.3403,-71.817,4182,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,130,NA,130,"CIP 765753","","",-13.4178,-71.7702,4339,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,131,NA,131,"CIP 765754","","",-13.4199,-71.7641,4342,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,132,NA,132,"CIP 765905","","",-13.4192,-71.7512,4277,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,133,NA,133,"CIP 761955","","",-15.5786,-71.7192,4350,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,134,NA,134,"CIP 762440","","",-14.7822,-71.6892,4041,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,140,NA,140,"CIP 761681","","",-13.9461,-71.6031,3783,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,141,NA,141,"CIP 761946","","",-15.9606,-71.5964,3794,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,144,NA,144,"CIP 760947","","",-15.64,-71.5503,4520,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,147,NA,147,"CIP 762384","","",-14.4914,-71.4783,3857,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,151,NA,151,"CIP 762435","","",-14.7428,-71.4575,3884,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,152,NA,152,"CIP 761956","","",-15.485,-71.4567,3813,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,154,NA,154,"CIP 762873","","",-15.6519,-71.4222,4228,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,155,NA,155,"CIP 765718","","",-15.5092,-71.4123,3879,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,156,NA,156,"CIP 762567","","",-14.7925,-71.4119,3909,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,157,NA,157,"CIP 761129","","",-14.9044,-71.3808,3900,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,166,NA,166,"CIP 760946","","",-15.9839,-71.3631,4185,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,168,NA,168,"CIP 765919","","",-14.5268,-71.3046,3950,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,169,NA,169,"CIP 762420","","",-14.3844,-71.2981,4000,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,170,NA,170,"CIP 765720","","",-15.402,-71.2911,4273,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,171,NA,171,"CIP 765719","","",-15.4929,-71.2839,4237,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,172,NA,172,"CIP 762427","","",-14.9719,-71.2708,4221,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,173,NA,173,"CIP 763204","","",-15.4989,-71.2236,3488,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,174,NA,174,"CIP 762424","","",-14.6803,-71.22,4117,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,176,NA,176,"CIP 761620","","",-14.3736,-71.0961,4145,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,178,NA,178,"CIP 765757","","",-14.4831,-70.9896,4333,"acaule","acaule","tuberous","germplasm",NA,"SŠrkinen","",""
NA,179,NA,179,"CIP 762213","","",-15.0475,-70.9583,4444,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,183,NA,183,"CIP 761229","","",-13.595,-70.9564,2783,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
NA,184,NA,184,"CIP 761616","","",-14.5097,-70.9233,4153,"acaule","acaule","tuberous","germplasm",48,"SŠrkinen","",""
